market,SUM(sales1d),SUM(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
FR,1608.52,239.0,0.148584,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS00010MUT010R4Y20V1,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,818.9,66.68,0.081426,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS00010WHI012R4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,723.08,43.87,0.060671,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010WHI010R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,630.58,72.31,0.114672,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,501.47,39.66,0.079087,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,375.17,5.22,0.013914,358912452756123,DeepBI_0502_M19 manu 2_overstock,401945033887736,DeepBI_0502_M19 manu 2,LPM17SS00190BLK00LR1-22V1,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2
FR,350.69,21.27,0.060652,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT1008R4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,339.26,36.39,0.107263,370475500006660,DeepBI_0502_M36 auto_overstock,516468538668241,DeepBI_0502_M36 auto,LPM17SS0036MUT100LR4V5,DeepBI_0502_M36 auto_overstock,DeepBI_0502_M36 auto
FR,297.47,26.95,0.090597,13785940172647,M35-Auto_overstock,160887290533579,Ad group 1,LPM17SS00350BLK0XLR4,DeepBI_0502_M35-Auto_overstock,DeepBI_0502_Ad group 1
FR,286.57,25.48,0.088914,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT900LR4,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,276.56,11.91,0.043065,331681360709372,DeepBI_0502_K01 manu,282509148388744,DeepBI_0502_K01 manu,LPK17SS0001MUT3012R4V2,DeepBI_0502_K01 manu,DeepBI_0502_K01 manu
FR,275.72,26.24,0.095169,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010MUT010R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,227.42,2.95,0.012972,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS0001MUT1008R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,226.57,24.8,0.109458,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010MUT006R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,224.91,5.82,0.025877,397618483934436,DeepBI_0502_K01 auto,303743200581063,DeepBI_0502_K01 auto,LPK17SS00010MUT008R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
FR,219.9,9.36,0.042565,549410556087868,DeepBI_0502_BR:Lounge - M92 - Broad,332447225169499,DeepBI_0502_BR:Lounge - M92 - Broad,LPM21SS0092MT0300LR2,DeepBI_0502_BR:Lounge - M92 - Broad,DeepBI_0502_BR:Lounge - M92 - Broad
FR,213.53,6.54,0.030628,358912452756123,DeepBI_0502_M19 manu 2_overstock,401945033887736,DeepBI_0502_M19 manu 2,LPM17SS0019BURYXXLR1-23V1,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2
FR,191.35,11.58,0.060517,403100467861727,DeepBI_0502_m35 auto_overstock,306913253726907,DeepBI_0502_m35 auto,LPM17SS00350BLK00MR4V2,DeepBI_0502_m35 auto_overstock,DeepBI_0502_m35 auto
FR,185.2,3.24,0.017495,358912452756123,DeepBI_0502_M19 manu 2_overstock,401945033887736,DeepBI_0502_M19 manu 2,LPM17SS0019IDBL0XLR1-23V1,DeepBI_0502_M19 manu 2_overstock,DeepBI_0502_M19 manu 2
