campaignId,adGroupId,new_campaignName,new_adGroupName,advertisedSku,,,,,,,,,,,,,,,
423101200392753,486870386132094,DeepBI_0502_B14 - Manual_overstock,DeepBI_0502_B14 - Manual_overstock,LPB22SS0014MT0300SR4,,,,,,,,,,,,,,,
497302161790388,381101083935232,DeepBI_0502_L100 - Manual_overstock,DeepBI_0502_L100 - Manual_overstock,LPL22AW0100PINK00MR2,,,,,,,,,,,,,,,
374399027292525,395209659696813,DeepBI_0502_L59 - Manual_overstock,DeepBI_0502_L59 - Manual_overstock,LPL21SS0059DKPK00SR1,,,,,,,,,,,,,,,
