market,sum(sales1d),sum(cost),avg_acos,campaignId,campaignName,adGroupId,adGroupName,advertisedSku,new_campaignName,new_adGroupName
DE,4870.81,662.76,0.136068,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT3004R4V2,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,1593.63,273.96,0.171909,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT900SR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,798.63,85.63,0.107221,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT004R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,744.87,83.18,0.11167,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI014R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,740.35,32.1,0.043358,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT1010R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,728.28,105.94,0.145466,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI012R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,664.62,40.76,0.061328,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT120XLR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,568.23,80.48,0.141633,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT010XSR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,559.44,33.5,0.059881,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI010R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,491.4,53.53,0.108934,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010WHI004R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,465.57,71.04,0.152587,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT90XSR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,457.3,39.83,0.087098,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT1008R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,434.33,44.69,0.102894,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT80XSR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,413.83,66.54,0.160791,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT900LR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,336.1,13.15,0.039125,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT030XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,328.44,33.88,0.103154,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT006R4Y20V1,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,259.48,12.05,0.046439,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT1012R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,256.62,34.79,0.13557,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT1300LR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,245.96,14.13,0.057448,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT1002R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,235.27,6.44,0.027373,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT060XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,217.48,12.61,0.057982,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT014R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,200.68,13.63,0.067919,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT012R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,168.05,28.44,0.169235,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT020XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,142.8,19.88,0.139216,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT82XLR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,139.02,10.44,0.075097,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT122XLR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,138.6,4.65,0.03355,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT130XLR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,107.44,5.16,0.048027,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT3002R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,100.83,9.1,0.090251,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT042XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,80.22,7.25,0.090376,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MUT800LR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,67.22,2.3,0.034216,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT022XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,45.36,1.27,0.027998,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS00010MUT002R4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,33.61,1.01,0.030051,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT010XLA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,33.61,1.95,0.058018,112677672626678,L55 auto,267447042456733,L55 Auto,LPL19SS0055MT0400SA3,DeepBI_0502_L55 auto,DeepBI_0502_L55 auto
DE,29.4,1.54,0.052381,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT1100MR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
DE,24.36,1.97,0.08087,275966513400828,K01 auto,95346095527742,Ad group 1,LPK17SS0001MT020XSR4,DeepBI_0502_K01 auto,DeepBI_0502_K01 auto
