market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,69.78,1.4,0.020063,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT010XLR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,68.8,1.47,0.021366,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035MT0100SR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,67.64,4.21,0.062241,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS00350WHIXXLR4V3,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,67.54,7.16,0.106011,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019IDBL00MR1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,66.93,0.19,0.002839,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036MUT23XLR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,66.63,2.64,0.039622,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS00020BLK00MA1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,65.03,8.43,0.129632,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190WHI00LR1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,64.95,1.9,0.029253,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS0019HGRY00LR1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,64.13,0.13,0.002027,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS00190OLV00MR1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,62.46,1.16,0.018572,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS0002DHGY0XLB1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,62.46,0.75,0.012008,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS0019DGRN00SR1-23V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,62.46,0.18,0.002882,289851750658803,DeepBI_0509_m19_overstock,358257668183375,DeepBI_0509_m19,LPM17SS0019HGRY00SR1-22V1,DeepBI_0507_m19_overstock,DeepBI_0507_DeepBI_0509_m19
FR,61.63,0.42,0.006815,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW00150BLK2XLR2,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,61.63,1.78,0.028882,366836223007357,DeepBI_0509_L52,300043914595103,DeepBI_0509_L52,LPL19SS00520BLK00SB1,DeepBI_0507_L52,DeepBI_0507_DeepBI_0509_L52
FR,60.63,0.49,0.008082,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS0002STBL00MA1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,59.98,1.11,0.018506,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036LHGY00MR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
FR,59.96,3.42,0.057038,504816871181128,DeepBI_0509_L02,449528966392770,DeepBI_0509_L02,LPL16SS00020BLK00LB1,DeepBI_0507_L02,DeepBI_0507_DeepBI_0509_L02
FR,59.34,0.49,0.008257,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW0015WBDT00LR1,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,58.8,0.58,0.009864,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW0015MT0100MR2,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,56.63,0.8,0.014127,302052141188403,DeepBI_0509_L15,420421349815706,DeepBI_0509_L15,LPL17AW00150BLK00LR1-19Y,DeepBI_0507_L15,DeepBI_0507_DeepBI_0509_L15
FR,55.8,1.9,0.03405,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS00190BLK00MR1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,54.96,1.58,0.028748,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS0019HGRY0XLR1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
FR,54.96,0.21,0.003821,302750724830364,DeepBI_0509_M23_AUTOGENE,315249325506115,DeepBI_0509_M23_AUTOGENE,LPM17SS0023DKBL00MA1,DeepBI_0507_M23_AUTOGENE,DeepBI_0507_DeepBI_0509_M23_AUTOGENE
FR,53.32,1.46,0.027382,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00LR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,52.69,1.14,0.021636,556378851007957,DeepBI_0509_m35_overstock,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY00SR4,DeepBI_0507_m35_overstock,DeepBI_0507_DeepBI_0509_m35
FR,51.64,0.83,0.016073,556378851007957,DeepBI_0509_m35,380132000953706,DeepBI_0509_m35,LPM17SS0035HGRY0XLR4,DeepBI_0507_m35,DeepBI_0507_DeepBI_0509_m35
FR,51.63,5.74,0.111176,289851750658803,DeepBI_0509_m19,358257668183375,DeepBI_0509_m19,LPM17SS00190BLK00MA1-22V1,DeepBI_0507_m19,DeepBI_0507_DeepBI_0509_m19
