market,sum( sales ),sum( cost ),avg_acos,campaignId,campaignName,adGroupId,adGroupName,promotedSku,new_campaignName,new_adGroupName
FR,42.86,0.07,0.001633,292723406411770,DeepBI_0509_M38 M39_overstock,447463352424095,DeepBI_0509_M38 M39,LPM17AW0038LGLB0XLA1,DeepBI_0507_M38 M39_overstock,DeepBI_0507_DeepBI_0509_M38 M39
FR,41.64,0.99,0.023775,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS0002DHGY00MB1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,41.64,0.26,0.006244,366836223007357,DeepBI_0509_L52_overstock,300043914595103,DeepBI_0509_L52,LPL19SS0052DHGY00SB1,DeepBI_0507_L52_overstock,DeepBI_0507_DeepBI_0509_L52
FR,40.81,2.66,0.06518,559286178488901,DeepBI_0509_L01_overstock,476226681767570,DeepBI_0509_L01,LPL16SS0001BURY2XLA1,DeepBI_0507_L01_overstock,DeepBI_0507_DeepBI_0509_L01
FR,39.98,0.92,0.023012,504816871181128,DeepBI_0509_L02_overstock,449528966392770,DeepBI_0509_L02,LPL16SS00020PUR0XLA1,DeepBI_0507_L02_overstock,DeepBI_0507_DeepBI_0509_L02
FR,39.98,1.38,0.034517,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BRHG0XSR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,38.31,0.92,0.024015,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039BRHG00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,33.32,1.44,0.043217,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW0039NVWT00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,33.31,1.21,0.036325,473625740834625,DeepBI_0507_M39-SDPD-防御PJ-VCPM,390542866287650,DeepBI_0507_Ad group 1,LPM17AW00390NAY00SR1,DeepBI_0507_M39-SDPD-防御PJ-VCPM,DeepBI_0507_Ad group 1
FR,26.66,0.16,0.006002,514167159661659,DeepBI_0509_m36_overstock,313440152600662,DeepBI_0509_m36,LPM17SS0036LHGY00LR4,DeepBI_0507_m36_overstock,DeepBI_0507_DeepBI_0509_m36
