campaignId,campaignName,adGroupId,adGroupName,new_campaignName,new_adGroupName,advertisedSku,,,,,,,,,,,,,
347896018992522,M134-Manuel_overstock,466334102864245,Ad group - 10/04/2024 16:06:22.755,Deep_0502_M134-Manuel_overstock,Deep_0502_M134-Manuel_overstock,LPL22AW0100PINK00MR2,,,,,,,,,,,,,
116747374461903,M05/M06-Manuel_overstock,552991214247084,M05/M06,Deep_0502_M05/M06-Manuel_overstock,Deep_0502_M05/M06-Manuel_overstock,LPM16SS00050WHI00SR3,,,,,,,,,,,,,
116747374461903,M05/M06-Manuel_overstock,552991214247084,M05/M06,Deep_0502_M05/M06-Manuel_overstock,Deep_0502_M05/M06-Manuel_overstock,LPM16SS00050WHI00SR3,,,,,,,,,,,,,
497302161790388,DeepBI_0502_L100 - Manual_overstock,381101083935232,DeepBI_0502_L100 - Manual,DeepBI_0502_L100 - Manual_overstock,DeepBI_0502_L100 - Manual_overstock,LPL22AW01000WHI00SR2,,,,,,,,,,,,,
