campaignName,adGroupName,campaignId,adGroupId,advertisedSku,new_campaignName,new_adGroupName,,,,,,,,,,,,,
DeepBI_0502_L59 - Manual,DeepBI_0502_L59 - Manual_overstock,333154569039733,551325314872812,LPL22AW0098NVGD00MR1,DeepBI_0502_L59 manu,DeepBI_0502_L59 manu,,,,,,,,,,,,,
DeepBI_0502_L100 - Manual_overstock,DeepBI_0502_L100 - Manual_overstock,494582555604902,373873811954410,LPL22AW0103BLK20XSR2,DeepBI_0502_M100 manu,DeepBI_0502_M100 manu,,,,,,,,,,,,,
L15/L39/L42 (MAN),L15/L39/L42 (MAN),333071922121990,405837108334341,LPL17AW0015BPKW00MR1,DeepBI_0502_L15 manu,DeepBI_0502_L15 manu,,,,,,,,,,,,,
M79/M129 (MAN),Manual,192621240618974,191320130722382,LPM20AW0079DHGN2XLR2,DeepBI_0502_M79 manu,DeepBI_0502_M79 manu,,,,,,,,,,,,,
